Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Dep_Hour,Dep_Minute,Arr_Hour,Arr_Minute,Duration_Minutes
5674.413742690059,8017.464269458353,11917.716738197425,BLR ? DEL,0,No info,3897,24,3,22,20,1,10,170
9611.210616438357,9158.389411354929,9158.389411354929,CCU ? IXR ? BBI ? BLR,2,No info,7662,1,5,5,50,13,15,445
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? LKO ? BOM ? COK,2,No info,13882,9,6,9,25,4,25,1140
5674.413742690059,9158.389411354929,9158.389411354929,CCU ? NAG ? BLR,1,No info,6218,12,5,18,5,23,30,325
5674.413742690059,8017.464269458353,11917.716738197425,BLR ? NAG ? DEL,1,No info,13302,1,3,16,50,21,35,285
4338.284841075794,9158.389411354929,9158.389411354929,CCU ? BLR,0,No info,3873,24,6,9,0,11,25,145
11643.92335671603,8017.464269458353,11917.716738197425,BLR ? BOM ? DEL,1,In-flight meal not included,11087,12,3,18,55,10,25,930
11643.92335671603,8017.464269458353,11917.716738197425,BLR ? BOM ? DEL,1,No info,22270,1,3,8,0,5,5,1265
11643.92335671603,8017.464269458353,11917.716738197425,BLR ? BOM ? DEL,1,In-flight meal not included,11087,12,3,8,55,10,25,1530
10902.678093645485,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,8625,27,5,11,25,19,15,470
9611.210616438357,10539.43905664536,10539.43905664536,DEL ? BLR ? COK,1,No info,8907,1,6,9,45,23,0,795
8447.83284339104,9158.389411354929,9158.389411354929,CCU ? BLR,0,No info,4174,18,4,20,20,22,55,155
9611.210616438357,4789.892388451444,4789.892388451444,MAA ? CCU,0,No info,4667,24,6,11,40,13,55,135
11643.92335671603,9158.389411354929,9158.389411354929,CCU ? BOM ? BLR,1,In-flight meal not included,9663,9,5,21,10,9,20,730
5674.413742690059,9158.389411354929,9158.389411354929,CCU ? BLR,0,No info,4804,24,4,17,15,19,50,155
9611.210616438357,10539.43905664536,10539.43905664536,DEL ? AMD ? BOM ? COK,2,No info,14011,3,3,16,40,19,15,1595
4338.284841075794,10539.43905664536,10539.43905664536,DEL ? PNQ ? COK,1,No info,5830,15,4,8,45,13,15,270
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,In-flight meal not included,10262,12,6,14,0,12,35,1355
9611.210616438357,10539.43905664536,10539.43905664536,DEL ? CCU ? BOM ? COK,2,No info,13381,12,6,20,15,19,15,1380
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,In-flight meal not included,12898,27,5,16,0,12,35,1235
5861.056790555317,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,19495,6,3,14,10,19,20,310
9611.210616438357,8017.464269458353,11917.716738197425,BLR ? COK ? DEL,1,No info,6955,21,3,22,0,13,20,920
5674.413742690059,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,3943,3,4,4,0,6,50,170
5674.413742690059,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,4823,1,5,18,55,21,50,175
11643.92335671603,9158.389411354929,9158.389411354929,CCU ? BOM ? BLR,1,In-flight meal not included,7757,6,5,18,55,8,15,800
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? IDR ? BOM ? COK,2,No info,13292,9,6,21,25,12,35,910
5674.413742690059,10539.43905664536,10539.43905664536,DEL ? LKO ? COK,1,No info,8238,1,6,21,50,3,35,345
5861.056790555317,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,7682,15,5,7,0,12,55,355
7796.348643006263,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,4668,18,6,9,45,12,35,170
7796.348643006263,4789.892388451444,4789.892388451444,MAA ? CCU,0,No info,3687,15,6,7,5,9,20,135
7796.348643006263,4789.892388451444,4789.892388451444,MAA ? CCU,0,No info,3687,18,6,7,5,9,20,135
9611.210616438357,9158.389411354929,9158.389411354929,CCU ? GAU ? DEL ? BLR,2,No info,13227,1,5,9,50,23,15,805
5674.413742690059,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,4423,6,4,4,0,6,50,170
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? NAG ? BOM ? COK,2,In-flight meal not included,10919,15,6,14,35,12,35,1320
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,In-flight meal not included,12373,18,5,7,5,12,35,330
5674.413742690059,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,5894,27,6,10,35,21,0,625
4338.284841075794,9158.389411354929,9158.389411354929,CCU ? MAA ? BLR,1,No info,4649,21,5,15,5,20,20,315
9611.210616438357,9158.389411354929,9158.389411354929,CCU ? BLR,0,No info,6245,18,5,14,15,16,45,150
11643.92335671603,8017.464269458353,11917.716738197425,BLR ? BOM ? DEL,1,No info,19225,6,3,7,0,13,15,375
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,14924,3,6,7,5,19,0,715
10902.678093645485,10539.43905664536,10539.43905664536,DEL ? HYD ? COK,1,No info,9646,21,5,7,5,18,10,665
9611.210616438357,8017.464269458353,11917.716738197425,BLR ? BOM ? DEL,1,No info,8714,15,3,6,45,15,15,510
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,In-flight meal not included,12373,18,5,20,55,19,0,1325
5590.260188088137,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,3383,6,5,11,10,13,55,165
10902.678093645485,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,13062,21,3,9,0,21,0,720
4338.284841075794,8017.464269458353,11917.716738197425,BLR ? DEL,0,No check-in baggage included,3527,24,3,5,45,8,35,170
5674.413742690059,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,3943,27,5,4,0,6,50,170
9611.210616438357,4789.892388451444,4789.892388451444,MAA ? CCU,0,No info,4667,3,5,11,40,13,55,135
9611.210616438357,9158.389411354929,9158.389411354929,CCU ? HYD ? BLR,1,No info,6117,15,5,19,0,11,5,965
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? AMD ? BOM ? COK,2,In-flight meal not included,11150,27,6,23,5,19,0,1195
11643.92335671603,10539.43905664536,10539.43905664536,DEL ? COK,0,In-flight meal not included,7202,9,3,11,0,14,15,195
11643.92335671603,9158.389411354929,9158.389411354929,CCU ? DEL ? BLR,1,No info,12121,1,5,9,35,10,55,1520
5674.413742690059,8017.464269458353,11917.716738197425,BLR ? DEL,0,No info,4377,24,3,22,20,1,10,170
5674.413742690059,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,3943,18,6,21,15,0,15,180
5590.260188088137,8017.464269458353,5143.918577075099,BLR ? DEL,0,No info,4483,3,4,23,55,2,45,170
11643.92335671603,9158.389411354929,9158.389411354929,CCU ? BOM ? BLR,1,No info,14231,24,3,19,45,12,0,975
9611.210616438357,8017.464269458353,11917.716738197425,BLR ? BOM ? AMD ? DEL,2,No info,17345,1,3,8,50,23,55,905
7796.348643006263,4789.892388451444,4789.892388451444,MAA ? CCU,0,No info,7414,6,3,7,5,9,20,135
10902.678093645485,10539.43905664536,10539.43905664536,DEL ? BOM ? COK,1,No info,8073,6,5,19,0,1,30,390
